,hourzero2one,hoursix2ten
dme-miR-3643-3p,1,0
dme-miR-3643-5p,0,0
dme-miR-3644-3p,0,0
dme-miR-3644-5p,0,0
dme-miR-3645-3p,0,0
dme-miR-3645-5p,0,0
dme-miR-375-3p,3,82
dme-miR-375-5p,0,144
dme-miR-4-3p,3394,11084
dme-miR-4-5p,3243,1167
dme-miR-4908-3p,0,0
dme-miR-4909-3p,0,0
dme-miR-4910-5p,1,0
dme-miR-4911-3p,0,0
dme-miR-4912-5p,0,0
dme-miR-4913-3p,2,0
dme-miR-4914-5p,0,0
dme-miR-4915-5p,1,0
dme-miR-4916-3p,0,0
dme-miR-4917-3p,4,0
dme-miR-4918-5p,1,0
dme-miR-4919-3p,0,0
dme-miR-4919-5p,0,0
dme-miR-4939-3p,0,0
dme-miR-4940-3p,0,0
dme-miR-4940-5p,0,0
dme-miR-4941-3p,0,0
dme-miR-4941-5p,0,0
dme-miR-4942-3p,0,0
dme-miR-4943-3p,0,0
dme-miR-4943-5p,0,0
dme-miR-4944-3p,0,0
dme-miR-4944-5p,0,0
dme-miR-4945-5p,0,0
dme-miR-4946-5p,0,0
dme-miR-4947-5p,0,0
dme-miR-4948-3p,0,8
dme-miR-4948-5p,0,0
dme-miR-4949-3p,0,7
dme-miR-4949-5p,0,0
dme-miR-4950-3p,0,0
dme-miR-4950-5p,0,0
dme-miR-4951-3p,1,0
dme-miR-4951-5p,0,1
dme-miR-4952-3p,0,0
dme-miR-4952-5p,0,0
dme-miR-4953-3p,0,0
dme-miR-4954-3p,0,0
dme-miR-4954-5p,0,0
dme-miR-4955-3p,0,0
dme-miR-4955-5p,0,0
dme-miR-4956-3p,0,0
dme-miR-4956-5p,0,0
dme-miR-4957-3p,1,5
dme-miR-4957-5p,1,0
dme-miR-4958-3p,0,0
dme-miR-4958-5p,0,0
dme-miR-4959-5p,1,0
dme-miR-4960-3p,0,0
dme-miR-4961-3p,0,3
dme-miR-4961-5p,1,0
dme-miR-4962-3p,0,0
dme-miR-4962-5p,0,0
dme-miR-4963-3p,0,0
dme-miR-4963-5p,0,0
dme-miR-4964-3p,0,0
dme-miR-4965-3p,0,0
dme-miR-4965-5p,1,0
dme-miR-4966-3p,0,0
dme-miR-4966-5p,0,0
dme-miR-4967-3p,0,0
dme-miR-4967-5p,0,0
dme-miR-4968-3p,0,0
dme-miR-4968-5p,0,1
dme-miR-4969-3p,0,0
dme-miR-4969-5p,4,12
dme-miR-4970-5p,0,0
dme-miR-4971-5p,0,0
dme-miR-4972-3p,0,0
dme-miR-4972-5p,0,0
dme-miR-4973-3p,0,0
dme-miR-4973-5p,0,0
dme-miR-4974-3p,0,0
dme-miR-4974-5p,0,0
dme-miR-4975-5p,0,0
dme-miR-4976-3p,0,0
dme-miR-4976-5p,1,0
dme-miR-4977-3p,0,0
dme-miR-4977-5p,0,0
dme-miR-4978-5p,0,0
dme-miR-4979-3p,2,0
dme-miR-4979-5p,0,0
dme-miR-4980-3p,0,0
dme-miR-4981-3p,0,0
dme-miR-4982-3p,0,0
dme-miR-4982-5p,0,0
dme-miR-4983-3p,0,0
dme-miR-4983-5p,0,0
dme-miR-4984-3p,0,0
dme-miR-4984-5p,0,0
dme-miR-4985-3p,0,0
dme-miR-4985-5p,2,1
dme-miR-4986-3p,0,0
dme-miR-4986-5p,0,0
dme-miR-4987-3p,0,0
dme-miR-4987-5p,0,5
dme-miR-5-3p,1792,7276
dme-miR-5-5p,3974,15799
dme-miR-6-1-5p,3984,117
dme-miR-6-2-5p,2587,286
dme-miR-6-3-5p,4832,218
dme-miR-6-3p,24,51
dme-miR-7-3p,314,449
dme-miR-7-5p,1659,7358
dme-miR-79-3p,3808,2570
dme-miR-79-5p,25,108
dme-miR-8-3p,2361,9311
dme-miR-8-5p,211,1718
dme-miR-87-3p,4,93
dme-miR-87-5p,0,0
dme-miR-927-3p,0,3
dme-miR-927-5p,0,1
dme-miR-929-3p,0,0
dme-miR-929-5p,0,0
dme-miR-92a-3p,17940,8432
dme-miR-92a-5p,2250,2553
dme-miR-92b-3p,3026,2355
dme-miR-92b-5p,436,739
dme-miR-932-3p,0,0
dme-miR-932-5p,2,2
dme-miR-9369-3p,0,20
dme-miR-9369-5p,1,6
dme-miR-9370-3p,0,0
dme-miR-9370-5p,3,1
dme-miR-9371-3p,0,0
dme-miR-9371-5p,0,0
dme-miR-9372-3p,0,0
dme-miR-9372-5p,9,6
dme-miR-9373-3p,0,0
dme-miR-9373-5p,0,0
dme-miR-9374-3p,0,0
dme-miR-9374-5p,0,0
dme-miR-9375-3p,4,0
dme-miR-9375-5p,2,0
dme-miR-9376-3p,0,0
dme-miR-9376-5p,0,0
dme-miR-9377-3p,0,0
dme-miR-9377-5p,0,0
dme-miR-9378-3p,0,0
dme-miR-9378-5p,0,0
dme-miR-9379-3p,0,0
dme-miR-9379-5p,0,0
dme-miR-9380-3p,0,0
dme-miR-9380-5p,0,0
dme-miR-9381-3p,0,0
dme-miR-9381-5p,0,0
dme-miR-9382-3p,0,0
dme-miR-9382-5p,0,2
dme-miR-9383-3p,0,0
dme-miR-9383-5p,0,0
dme-miR-9384-3p,0,0
dme-miR-9384-5p,1,5
dme-miR-9385-3p,0,0
dme-miR-9385-5p,0,0
dme-miR-9388-3p,5,0
dme-miR-9388-5p,0,0
dme-miR-954-3p,17,15
dme-miR-954-5p,72,39
dme-miR-955-3p,0,0
dme-miR-955-5p,0,5
dme-miR-956-3p,0,1
dme-miR-956-5p,0,0
dme-miR-957-3p,0,0
dme-miR-957-5p,0,0
dme-miR-958-3p,61,1028
dme-miR-958-5p,7,781
dme-miR-959-3p,0,0
dme-miR-959-5p,0,0
dme-miR-960-3p,0,3
dme-miR-960-5p,0,10
dme-miR-961-3p,0,0
dme-miR-961-5p,0,0
dme-miR-962-3p,0,0
dme-miR-962-5p,0,10
dme-miR-963-3p,0,0
dme-miR-963-5p,0,2
dme-miR-964-3p,0,0
dme-miR-964-5p,1,16
dme-miR-965-3p,120,409
dme-miR-965-5p,128,397
dme-miR-966-3p,3,4
dme-miR-966-5p,10,2
dme-miR-967-3p,0,1
dme-miR-967-5p,0,0
dme-miR-968-3p,14,957
dme-miR-968-5p,5,728
dme-miR-969-3p,0,0
dme-miR-969-5p,0,0
dme-miR-970-3p,665,180
dme-miR-970-5p,7,12
dme-miR-971-3p,3,2
dme-miR-971-5p,0,0
dme-miR-972-3p,0,19
dme-miR-972-5p,0,0
dme-miR-973-3p,0,0
dme-miR-973-5p,1,23
dme-miR-974-3p,0,0
dme-miR-974-5p,0,9
dme-miR-975-3p,0,5
dme-miR-975-5p,0,26
dme-miR-976-3p,0,7
dme-miR-976-5p,0,2
dme-miR-977-3p,1,20
dme-miR-977-5p,0,1
dme-miR-978-3p,0,6
dme-miR-978-5p,0,20
dme-miR-979-3p,0,7
dme-miR-979-5p,0,10
dme-miR-980-3p,29,260
dme-miR-980-5p,0,50
dme-miR-981-3p,12,149
dme-miR-981-5p,0,3
dme-miR-982-3p,0,0
dme-miR-982-5p,1,1
dme-miR-983-3p,0,0
dme-miR-983-5p,0,0
dme-miR-984-3p,0,0
dme-miR-984-5p,10,5
dme-miR-985-3p,0,0
dme-miR-985-5p,0,0
dme-miR-986-3p,1,35
dme-miR-986-5p,150,206
dme-miR-987-3p,0,0
dme-miR-987-5p,0,3
dme-miR-988-3p,3218,3520
dme-miR-988-5p,126,100
dme-miR-989-3p,4,0
dme-miR-989-5p,0,0
dme-miR-990-3p,0,1
dme-miR-990-5p,0,3
dme-miR-991-3p,1,6
dme-miR-991-5p,2,0
dme-miR-992-3p,17,42
dme-miR-992-5p,1,0
dme-miR-993-3p,6,211
dme-miR-993-5p,0,31
dme-miR-994-3p,4,7
dme-miR-994-5p,9,0
dme-miR-995-3p,3526,2690
dme-miR-995-5p,224,635
dme-miR-996-3p,8140,12622
dme-miR-996-5p,296,2284
dme-miR-997-3p,0,0
dme-miR-997-5p,0,0
dme-miR-998-3p,367,1379
dme-miR-998-5p,200,506
dme-miR-999-3p,131,180
dme-miR-999-5p,6,39
dme-miR-9a-3p,55,1026
dme-miR-9a-5p,712,22714
dme-miR-9b-3p,125,102
dme-miR-9b-5p,4945,3284
dme-miR-9c-3p,475,213
dme-miR-9c-5p,2840,1803
dme-miR-iab-4-3p,67,263
dme-miR-iab-4-5p,102,2616
dme-miR-iab-8-3p,1,29
dme-miR-iab-8-5p,0,6
